timestamp,position,gain,movement_description
1556,20.83,-255,Shoulder 0 to 90 degrees PID
1566,21.8,-255,Shoulder 0 to 90 degrees PID
1576,22.06,-255,Shoulder 0 to 90 degrees PID
1586,22.41,-255,Shoulder 0 to 90 degrees PID
1596,22.85,-255,Shoulder 0 to 90 degrees PID
1607,23.2,-255,Shoulder 0 to 90 degrees PID
1617,23.64,-255,Shoulder 0 to 90 degrees PID
1627,24.08,-255,Shoulder 0 to 90 degrees PID
1637,24.79,-255,Shoulder 0 to 90 degrees PID
1648,25.14,-255,Shoulder 0 to 90 degrees PID
1658,25.58,-255,Shoulder 0 to 90 degrees PID
1669,26.02,-255,Shoulder 0 to 90 degrees PID
1679,26.46,-255,Shoulder 0 to 90 degrees PID
1690,26.89,-255,Shoulder 0 to 90 degrees PID
1700,27.69,-255,Shoulder 0 to 90 degrees PID
1710,28.21,-255,Shoulder 0 to 90 degrees PID
1720,28.56,-255,Shoulder 0 to 90 degrees PID
1731,29.0,-255,Shoulder 0 to 90 degrees PID
1741,29.36,-255,Shoulder 0 to 90 degrees PID
1752,29.62,-255,Shoulder 0 to 90 degrees PID
1762,30.59,-255,Shoulder 0 to 90 degrees PID
1773,31.03,-255,Shoulder 0 to 90 degrees PID
1784,31.38,-255,Shoulder 0 to 90 degrees PID
1794,31.64,-255,Shoulder 0 to 90 degrees PID
1804,31.99,-255,Shoulder 0 to 90 degrees PID
1814,32.43,-255,Shoulder 0 to 90 degrees PID
1825,32.87,-255,Shoulder 0 to 90 degrees PID
1835,33.84,-255,Shoulder 0 to 90 degrees PID
1845,34.19,-255,Shoulder 0 to 90 degrees PID
1856,34.63,-255,Shoulder 0 to 90 degrees PID
1866,35.07,-255,Shoulder 0 to 90 degrees PID
1876,35.51,-255,Shoulder 0 to 90 degrees PID
1886,35.95,-255,Shoulder 0 to 90 degrees PID
1896,36.65,-255,Shoulder 0 to 90 degrees PID
1907,37.0,-255,Shoulder 0 to 90 degrees PID
1917,37.44,-255,Shoulder 0 to 90 degrees PID
1927,37.79,-255,Shoulder 0 to 90 degrees PID
1937,38.23,-255,Shoulder 0 to 90 degrees PID
1947,38.67,-255,Shoulder 0 to 90 degrees PID
1957,39.46,-255,Shoulder 0 to 90 degrees PID
1968,39.81,-255,Shoulder 0 to 90 degrees PID
1978,40.25,-255,Shoulder 0 to 90 degrees PID
1988,40.69,-255,Shoulder 0 to 90 degrees PID
1998,41.04,-255,Shoulder 0 to 90 degrees PID
2009,41.48,-255,Shoulder 0 to 90 degrees PID
2019,41.84,-255,Shoulder 0 to 90 degrees PID
2030,42.8,-255,Shoulder 0 to 90 degrees PID
2040,43.24,-255,Shoulder 0 to 90 degrees PID
2051,43.59,-255,Shoulder 0 to 90 degrees PID
2061,43.86,-255,Shoulder 0 to 90 degrees PID
2071,44.21,-255,Shoulder 0 to 90 degrees PID
2082,44.74,-255,Shoulder 0 to 90 degrees PID
2092,45.53,-255,Shoulder 0 to 90 degrees PID
2103,45.97,-255,Shoulder 0 to 90 degrees PID
2113,46.32,-255,Shoulder 0 to 90 degrees PID
2123,46.58,-255,Shoulder 0 to 90 degrees PID
2134,47.02,-255,Shoulder 0 to 90 degrees PID
2144,47.46,-255,Shoulder 0 to 90 degrees PID
2154,48.34,-255,Shoulder 0 to 90 degrees PID
2165,48.69,-255,Shoulder 0 to 90 degrees PID
2175,49.04,-255,Shoulder 0 to 90 degrees PID
2185,49.39,-255,Shoulder 0 to 90 degrees PID
2195,49.83,-255,Shoulder 0 to 90 degrees PID
2206,50.36,-255,Shoulder 0 to 90 degrees PID
2216,51.15,-255,Shoulder 0 to 90 degrees PID
2226,51.5,-255,Shoulder 0 to 90 degrees PID
2236,51.94,-255,Shoulder 0 to 90 degrees PID
2246,52.38,-255,Shoulder 0 to 90 degrees PID
2256,52.82,-255,Shoulder 0 to 90 degrees PID
2267,53.17,-255,Shoulder 0 to 90 degrees PID
2277,53.53,-255,Shoulder 0 to 90 degrees PID
2288,54.49,-255,Shoulder 0 to 90 degrees PID
2298,54.84,-255,Shoulder 0 to 90 degrees PID
2308,55.28,-255,Shoulder 0 to 90 degrees PID
2319,55.72,-255,Shoulder 0 to 90 degrees PID
2329,56.07,-255,Shoulder 0 to 90 degrees PID
2339,56.43,-255,Shoulder 0 to 90 degrees PID
2349,57.39,-255,Shoulder 0 to 90 degrees PID
2360,57.83,-255,Shoulder 0 to 90 degrees PID
2370,58.27,-255,Shoulder 0 to 90 degrees PID
2381,58.54,-255,Shoulder 0 to 90 degrees PID
2391,58.97,-255,Shoulder 0 to 90 degrees PID
2401,59.33,-255,Shoulder 0 to 90 degrees PID
2412,60.29,-255,Shoulder 0 to 90 degrees PID
2422,60.64,-255,Shoulder 0 to 90 degrees PID
2433,61.17,-255,Shoulder 0 to 90 degrees PID
2443,61.52,-255,Shoulder 0 to 90 degrees PID
2453,61.96,-255,Shoulder 0 to 90 degrees PID
2464,62.4,-255,Shoulder 0 to 90 degrees PID
2474,62.67,-255,Shoulder 0 to 90 degrees PID
2485,63.72,-255,Shoulder 0 to 90 degrees PID
2495,64.07,-255,Shoulder 0 to 90 degrees PID
2506,64.6,-255,Shoulder 0 to 90 degrees PID
2516,64.86,-255,Shoulder 0 to 90 degrees PID
2526,65.39,-255,Shoulder 0 to 90 degrees PID
2537,65.74,-255,Shoulder 0 to 90 degrees PID
2547,66.53,-255,Shoulder 0 to 90 degrees PID
2558,66.88,-255,Shoulder 0 to 90 degrees PID
2568,67.15,-255,Shoulder 0 to 90 degrees PID
2578,67.68,-255,Shoulder 0 to 90 degrees PID
2588,68.03,-255,Shoulder 0 to 90 degrees PID
2599,68.55,-255,Shoulder 0 to 90 degrees PID
2610,69.35,-255,Shoulder 0 to 90 degrees PID
2620,69.79,-255,Shoulder 0 to 90 degrees PID
2631,70.22,-255,Shoulder 0 to 90 degrees PID
2641,70.66,-255,Shoulder 0 to 90 degrees PID
2651,70.93,-255,Shoulder 0 to 90 degrees PID
2661,71.28,-255,Shoulder 0 to 90 degrees PID
2672,72.07,-255,Shoulder 0 to 90 degrees PID
2682,72.69,-255,Shoulder 0 to 90 degrees PID
2693,73.04,-255,Shoulder 0 to 90 degrees PID
2703,73.3,-255,Shoulder 0 to 90 degrees PID
2714,73.74,-255,Shoulder 0 to 90 degrees PID
2724,74.09,-255,Shoulder 0 to 90 degrees PID
2734,74.53,-255,Shoulder 0 to 90 degrees PID
2744,75.5,-255,Shoulder 0 to 90 degrees PID
2754,75.76,-255,Shoulder 0 to 90 degrees PID
2764,76.03,-255,Shoulder 0 to 90 degrees PID
2775,76.55,-255,Shoulder 0 to 90 degrees PID
2785,77.08,-255,Shoulder 0 to 90 degrees PID
2795,77.43,-255,Shoulder 0 to 90 degrees PID
